frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
0,burst,1,25000,144,1010168,1010168,0,25652,50000,25000,158677,158677,8229931,8229931,1,0,0,0
1,burst,0,20000,160,835168,835168,0,25652,50000,30000,173506,173506,8215102,8215102,1,0,0,0
2,burst,0,20000,176,835168,835168,0,25652,50000,30000,189970,189970,8198638,8198638,1,0,0,0
3,burst,0,20000,192,835168,835168,0,25652,50000,30000,206492,206492,8182116,8182116,1,0,0,0
4,burst,0,20000,208,835168,835168,0,25652,50000,30000,223787,223787,8164821,8164821,1,0,0,0
5,burst,0,20000,224,835168,835168,0,25652,50000,30000,241112,241112,8147496,8147496,1,0,0,0
6,burst,0,20000,240,835168,835168,0,25652,50000,30000,256706,256706,8131902,8131902,1,0,0,0
7,burst,0,20000,256,835168,835168,0,25652,50000,30000,275934,275934,8112674,8112674,1,0,0,0
8,burst,0,20000,272,835168,835168,0,25652,50000,30000,292442,292442,8096166,8096166,1,0,0,0
9,burst,0,20000,288,835168,835168,0,25652,50000,30000,312065,312065,8076543,8076543,1,0,0,0
10,burst,0,20000,304,835168,835168,0,25652,50000,30000,323908,323908,8064700,8064700,1,0,0,0
11,burst,0,20000,320,835168,835168,0,25652,50000,30000,342494,342494,8046114,8046114,1,0,0,0
12,burst,0,20000,336,835168,835168,0,25652,50000,30000,357942,357942,8030666,8030666,1,0,0,0
13,burst,0,20000,352,835168,835168,0,25652,50000,30000,374427,374427,8014181,8014181,1,0,0,0
14,burst,0,20000,368,835168,835168,0,25652,50000,30000,390916,390916,7997692,7997692,1,0,0,0
15,burst,0,20000,384,835168,835168,0,25652,50000,30000,411381,411381,7977227,7977227,1,0,0,0
16,burst,0,20000,400,835168,835168,0,25652,50000,30000,427534,427534,7961074,7961074,1,0,0,0
17,burst,0,20000,416,835168,835168,0,25652,50000,30000,444944,444944,7943664,7943664,1,0,0,0
18,burst,0,20000,432,835168,835168,0,25652,50000,30000,459081,459081,7929527,7929527,1,0,0,0
19,burst,0,20000,448,835168,835168,0,25652,50000,30000,482808,482808,7905800,7905800,1,0,0,0
20,burst,0,20000,464,835168,835168,0,25652,50000,30000,500025,500025,7888583,7888583,1,0,0,0
21,burst,0,20000,480,835168,835168,0,25652,50000,30000,514336,514336,7874272,7874272,1,0,0,0
22,burst,0,20000,496,835168,835168,0,25652,50000,30000,532830,532830,7855778,7855778,1,0,0,0
23,burst,0,20000,512,835168,835168,0,25652,50000,30000,553101,553101,7835507,7835507,1,0,0,0
24,burst,0,20000,528,835168,835168,0,25652,50000,30000,569055,569055,7819553,7819553,1,0,0,0
25,burst,0,20000,544,835168,835168,0,25652,50000,30000,582868,582868,7805740,7805740,1,0,0,0
26,burst,0,20000,560,835168,835168,0,25652,50000,30000,599119,599119,7789489,7789489,1,0,0,0
27,burst,0,20000,576,835168,835168,0,25652,50000,30000,616265,616265,7772343,7772343,1,0,0,0
28,burst,0,20000,592,835168,835168,0,25652,50000,30000,639447,639447,7749161,7749161,1,0,0,0
29,burst,0,20000,608,835168,835168,0,25652,50000,30000,659253,659253,7729355,7729355,1,0,0,0
30,burst,0,20000,623,835168,835168,0,25652,50000,30000,674330,674330,7714278,7714242,2,4.66667e-06,0,0
31,burst,0,20000,637,835168,835168,0,25652,50000,30000,690665,690665,7697943,7697527,4,5.40404e-05,0,0
32,burst,0,20000,651,835168,835168,0,25652,50000,30000,706522,706522,7682086,7681772,5,4.08743e-05,0,0
33,burst,0,20000,666,835168,835168,0,25652,50000,30000,723801,723801,7664807,7664510,6,3.87485e-05,0,0
34,burst,0,20000,681,835168,835168,0,25652,50000,30000,736585,736585,7652023,7651480,7,7.09616e-05,0,0
35,burst,0,20000,696,835168,835168,0,25652,50000,30000,754852,754852,7633756,7633239,8,6.77255e-05,0,0
36,burst,0,20000,710,835168,835168,0,25652,50000,30000,769495,769495,7619113,7618200,10,0.00011983,0,0
37,burst,0,20000,726,835168,835168,0,25652,50000,30000,783734,783734,7604874,7604298,10,7.57409e-05,0,0
38,burst,0,20000,736,835168,835168,0,25652,50000,30000,792655,792655,7595953,7594269,16,0.000221697,0,0
39,burst,0,20000,749,835168,835168,0,25652,50000,30000,800303,800303,7588305,7587033,18,0.000167626,0,0
40,burst,0,20000,757,835168,835168,0,25652,50000,30000,810349,810349,7578259,7576122,24,0.000281991,0,0
41,burst,0,20000,771,835168,835168,0,25652,50000,30000,828543,828543,7560065,7557534,26,0.000334785,0,0
42,burst,0,20000,785,835168,835168,0,25652,50000,30000,844297,844297,7544311,7541599,27,0.000359476,0,0
43,burst,0,20000,798,835168,835168,0,25652,50000,30000,856306,856306,7532302,7529155,29,0.000417801,0,0
44,burst,0,20000,812,835168,835168,0,25652,50000,30000,872964,872964,7515644,7512468,29,0.000422585,0,0
45,burst,0,20000,827,835168,835168,0,25652,50000,30000,891155,891155,7497453,7494703,30,0.000366791,0,0
46,burst,0,20000,841,835168,835168,0,25652,50000,30000,901742,901742,7486866,7484561,32,0.000307872,0,0
47,burst,0,20000,853,835168,835168,0,25652,50000,30000,916572,916572,7472036,7468896,35,0.000420234,0,0
48,burst,0,20000,861,835168,835168,0,25652,50000,30000,926700,926700,7461908,7457009,41,0.000656534,0,0
49,burst,0,20000,871,835168,835168,0,25652,50000,30000,936332,936332,7452276,7446272,42,0.00080566,0,0
50,burst,0,20000,882,835168,835168,0,25652,50000,30000,952580,952580,7436028,7429194,47,0.000919039,0,0
51,burst,0,20000,894,835168,835168,0,25652,50000,30000,962605,962605,7426003,7420794,47,0.000701454,0,0
52,burst,0,20000,903,835168,835168,0,25652,50000,30000,974300,974300,7414308,7407668,52,0.000895566,0,0
53,burst,0,20000,911,835168,835168,0,25652,50000,30000,982846,982846,7405762,7397829,57,0.00107119,0,0
54,burst,0,20000,923,835168,835168,0,25652,50000,30000,997029,997029,7391579,7383882,61,0.00104132,0,0
55,burst,0,20000,933,835168,835168,0,25652,50000,30000,1007857,1007857,7380751,7371937,65,0.00119419,0,0
56,burst,0,20000,939,835168,835168,0,25652,50000,30000,1014515,1014515,7374093,7362531,74,0.00156792,0,0
57,burst,0,20000,949,835168,835168,0,25652,50000,30000,1021561,1021561,7367047,7355691,78,0.00154146,0,0
58,burst,0,20000,957,835168,835168,0,25652,50000,30000,1029623,1029623,7358985,7345450,84,0.00183925,0,0
59,burst,0,20000,967,835168,835168,0,25652,50000,30000,1039158,1039158,7349450,7337834,89,0.00158053,0,0
60,burst,0,20000,976,835168,835168,0,25652,50000,30000,1046151,1046151,7342457,7328937,94,0.00184135,0,0
61,burst,0,20000,982,835168,835168,0,25652,50000,30000,1053548,1053548,7335060,7319353,98,0.00214136,0,0
62,burst,0,20000,991,835168,835168,0,25652,50000,30000,1060757,1060757,7327851,7311865,104,0.00218154,0,0
63,burst,0,20000,1000,835168,835168,0,25652,50000,30000,1074280,1074280,7314328,7297872,108,0.00224983,0,0
64,burst,0,20000,1008,835168,835168,0,25652,50000,30000,1085202,1085202,7303406,7284357,115,0.00260824,0,0
65,burst,0,20000,1015,835168,835168,0,25652,50000,30000,1092664,1092664,7295944,7274103,123,0.00299358,0,0
66,burst,0,20000,1025,835168,835168,0,25652,50000,30000,1105160,1105160,7283448,7260270,127,0.00318228,0,0
67,burst,0,20000,1033,835168,835168,0,25652,50000,30000,1115743,1115743,7272865,7248623,135,0.00333321,0,0
68,burst,0,20000,1037,835168,835168,0,25652,50000,30000,1124257,1124257,7264351,7238596,144,0.0035454,0,0
69,burst,0,20000,1044,835168,835168,0,25652,50000,30000,1129836,1129836,7258772,7231011,149,0.00382448,0,0
70,burst,0,20000,1050,835168,835168,0,25652,50000,30000,1129830,1129836,7258778,7231011,154,0.0038253,0,0
71,burst,0,20000,1058,835168,835168,0,25652,50000,30000,1138305,1138305,7250303,7222598,158,0.00382122,0,0
72,burst,0,20000,1066,835168,835168,0,25652,50000,30000,1142919,1142919,7245689,7216869,164,0.00397754,0,0
73,burst,0,20000,1078,835168,835168,0,25652,50000,30000,1156546,1156546,7232062,7205182,164,0.00371678,0,0
74,burst,0,20000,1085,835168,835168,0,25652,50000,30000,1168779,1168779,7219829,7190440,168,0.0040706,0,0
75,burst,0,20000,1092,835168,835168,0,25652,50000,30000,1174975,1174975,7213633,7181923,171,0.00439584,0,0
76,burst,0,20000,1094,835168,835168,0,25652,50000,30000,1177390,1177390,7211218,7175491,177,0.00495436,0,0
77,burst,0,20000,1097,835168,835168,0,25652,50000,30000,1184584,1184584,7204024,7162611,187,0.00574859,0,0
78,burst,0,20000,1103,835168,835168,0,25652,50000,30000,1187740,1187740,7200868,7159034,188,0.00580958,0,0
79,burst,0,20000,1107,835168,835168,0,25652,50000,30000,1193159,1193159,7195449,7153981,193,0.00576309,0,0
80,burst,0,20000,1116,835168,835168,0,25652,50000,30000,1201617,1201617,7186991,7145914,197,0.00571547,0,0
81,burst,0,20000,1121,835168,835168,0,25652,50000,30000,1207603,1207603,7181005,7139190,203,0.005823,0,0
82,burst,0,20000,1134,835168,835168,0,25652,50000,30000,1225651,1225651,7162957,7123308,204,0.00553528,0,0
83,burst,0,20000,1137,835168,835168,0,25652,50000,30000,1229746,1229746,7158862,7117302,211,0.00580539,0,0
84,burst,0,20000,1146,835168,835168,0,25652,50000,30000,1236447,1236447,7152161,7111505,214,0.00568444,0,0
85,burst,0,20000,1149,835168,835168,0,25652,50000,30000,1234250,1236447,7154358,7109678,221,0.00624514,0,0
86,burst,0,20000,1151,835168,835168,0,25652,50000,30000,1239284,1239284,7149324,7102096,227,0.00660594,0,0
87,burst,0,20000,1160,835168,835168,0,25652,50000,30000,1250241,1250241,7138367,7091044,231,0.00662939,0,0
88,burst,0,20000,1159,835168,835168,0,25652,50000,30000,1243095,1250241,7145513,7089005,242,0.00790818,0,0
89,burst,0,20000,1158,835168,835168,0,25652,50000,30000,1244576,1250241,7144032,7089005,254,0.00770251,0,0
90,burst,0,20000,1159,835168,835168,0,25652,50000,30000,1247438,1250241,7141170,7083402,256,0.00808943,0,0
91,burst,0,20000,1169,835168,835168,0,25652,50000,30000,1259891,1259891,7128717,7076435,259,0.007334,0,0
92,burst,0,20000,1176,835168,835168,0,25652,50000,30000,1269278,1269278,7119330,7065732,260,0.00752852,0,0
93,burst,0,20000,1175,835168,835168,0,25652,50000,30000,1271306,1271306,7117302,7058708,269,0.00823261,0,0
94,burst,0,20000,1169,835168,835168,0,25652,50000,30000,1264186,1271306,7124422,7058708,278,0.00922377,0,0
95,burst,0,20000,1172,835168,835168,0,25652,50000,30000,1269937,1271306,7118671,7053528,287,0.00915101,0,0
96,burst,0,20000,1170,835168,835168,0,25652,50000,30000,1272983,1272983,7115625,7039759,296,0.0106619,0,0
97,burst,0,20000,1175,835168,835168,0,25652,50000,30000,1283201,1283201,7105407,7033779,299,0.0100808,0,0
98,burst,0,20000,1180,835168,835168,0,25652,50000,30000,1287532,1287532,7101076,7031823,299,0.00975247,0,0
99,burst,0,20000,1184,835168,835168,0,25652,50000,30000,1294698,1294698,7093910,7019999,303,0.0104189,0,0
100,burst,0,20000,1187,835168,835168,0,25652,50000,30000,1297315,1297315,7091293,7016249,309,0.0105826,0,0
101,burst,0,20000,1193,835168,835168,0,25652,50000,30000,1300767,1300767,7087841,7016249,312,0.0101007,0,0
102,burst,0,20000,1191,835168,835168,0,25652,50000,30000,1297628,1300767,7090980,7016249,321,0.0105389,0,0
103,burst,0,20000,1197,835168,835168,0,25652,50000,30000,1304119,1304119,7084489,7012202,325,0.0102036,0,0
104,burst,0,20000,1201,835168,835168,0,25652,50000,30000,1309275,1309275,7079333,7008081,328,0.0100648,0,0
105,burst,0,20000,1198,835168,835168,0,25652,50000,30000,1305977,1309275,7082631,7006097,336,0.0108059,0,0
106,burst,0,20000,1200,835168,835168,0,25652,50000,30000,1310669,1310669,7077939,6999052,340,0.0111455,0,0
107,burst,0,20000,1205,835168,835168,0,25652,50000,30000,1318787,1318787,7069821,6990644,339,0.0111993,0,0
108,burst,0,20000,1206,835168,835168,0,25652,50000,30000,1320144,1320144,7068464,6985626,346,0.0117194,0,0
109,burst,0,20000,1207,835168,835168,0,25652,50000,30000,1319437,1320144,7069171,6981907,352,0.0123443,0,0
110,burst,0,20000,1206,835168,835168,0,25652,50000,30000,1314958,1320144,7073650,6981907,357,0.0129697,0,0
111,burst,0,20000,1204,835168,835168,0,25652,50000,30000,1313567,1320144,7075041,6977842,359,0.0137383,0,0
112,burst,0,20000,1211,835168,835168,0,25652,50000,30000,1326200,1326200,7062408,6964996,361,0.013793,0,0
113,burst,0,20000,1209,835168,835168,0,25652,50000,30000,1322961,1326200,7065647,6964996,362,0.0142451,0,0
114,burst,0,20000,1201,835168,835168,0,25652,50000,30000,1317841,1326200,7070767,6964996,366,0.0149589,0,0
115,burst,0,20000,1196,835168,835168,0,25652,50000,30000,1312022,1326200,7076586,6964996,368,0.0157689,0,0
116,burst,0,20000,1192,835168,835168,0,25652,50000,30000,1309999,1326200,7078609,6962994,370,0.016333,0,0
117,burst,0,20000,1193,835168,835168,0,25652,50000,30000,1311529,1326200,7077079,6962994,372,0.0161204,0,0
