frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
0,fragmentation,0,12000,96,555168,555168,0,25652,50000,38000,190117,190117,8198491,8198491,1,0,0,0
1,fragmentation,0,12000,192,555168,555168,0,25652,50000,38000,387237,387237,8001371,8001371,1,0,0,0
2,fragmentation,0,12000,288,555168,555168,0,25652,50000,38000,568297,568297,7820311,7820311,1,0,0,0
3,fragmentation,0,12000,384,555168,555168,0,25652,50000,38000,786046,786046,7602562,7602562,1,0,0,0
4,fragmentation,0,12000,480,555168,555168,0,25652,50000,38000,983185,983185,7405423,7405423,1,0,0,0
5,fragmentation,0,12000,576,555168,555168,0,25652,50000,38000,1192997,1192997,7195611,7195611,1,0,0,0
6,fragmentation,0,12000,671,555168,555168,0,25652,50000,38000,1399108,1399108,6989500,6989477,2,3.29065e-06,0,0
7,fragmentation,0,12000,765,555168,555168,0,25652,50000,38000,1587400,1587400,6801208,6801086,4,1.7938e-05,0,0
8,fragmentation,0,12000,859,555168,555168,0,25652,50000,38000,1781507,1781507,6607101,6606889,5,3.20867e-05,0,0
9,fragmentation,0,12000,952,555168,555168,0,25652,50000,38000,1972924,1972924,6415684,6415354,6,5.14364e-05,0,0
10,fragmentation,0,12000,1047,555168,555168,0,25652,50000,38000,2154197,2154197,6234411,6234015,7,6.35184e-05,0,0
11,fragmentation,0,12000,1137,555168,555168,0,25652,50000,38000,2353660,2353660,6034948,6033944,12,0.000166364,0,0
12,fragmentation,0,12000,1230,555168,555168,0,25652,50000,38000,2555629,2555629,5832979,5832245,13,0.000125836,0,0
13,fragmentation,0,12000,1317,555168,555168,0,25652,50000,38000,2742768,2742768,5645840,5644125,21,0.000303763,0,0
