frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
0,steady,0,20000,16,835168,835168,0,25652,50000,30000,8096,8096,8380512,8380512,1,0,0,0
1,steady,0,20000,32,835168,835168,0,25652,50000,30000,14413,14413,8374195,8374195,1,0,0,0
2,steady,0,20000,48,835168,835168,0,25652,50000,30000,22795,22795,8365813,8365813,1,0,0,0
3,steady,0,20000,64,835168,835168,0,25652,50000,30000,31129,31129,8357479,8357479,1,0,0,0
4,steady,0,20000,80,835168,835168,0,25652,50000,30000,38443,38443,8350165,8350165,1,0,0,0
5,steady,0,20000,96,835168,835168,0,25652,50000,30000,46175,46175,8342433,8342433,1,0,0,0
6,steady,0,20000,112,835168,835168,0,25652,50000,30000,54188,54188,8334420,8334420,1,0,0,0
7,steady,0,20000,128,835168,835168,0,25652,50000,30000,63377,63377,8325231,8325231,1,0,0,0
8,steady,0,20000,144,835168,835168,0,25652,50000,30000,73618,73618,8314990,8314990,1,0,0,0
9,steady,0,20000,160,835168,835168,0,25652,50000,30000,82497,82497,8306111,8306111,1,0,0,0
10,steady,0,20000,176,835168,835168,0,25652,50000,30000,91774,91774,8296834,8296834,1,0,0,0
11,steady,0,20000,192,835168,835168,0,25652,50000,30000,99422,99422,8289186,8289186,1,0,0,0
12,steady,0,20000,208,835168,835168,0,25652,50000,30000,108452,108452,8280156,8280156,1,0,0,0
13,steady,0,20000,224,835168,835168,0,25652,50000,30000,117047,117047,8271561,8271561,1,0,0,0
14,steady,0,20000,240,835168,835168,0,25652,50000,30000,125272,125272,8263336,8263336,1,0,0,0
15,steady,0,20000,256,835168,835168,0,25652,50000,30000,132894,132894,8255714,8255714,1,0,0,0
16,steady,0,20000,272,835168,835168,0,25652,50000,30000,144014,144014,8244594,8244594,1,0,0,0
17,steady,0,20000,288,835168,835168,0,25652,50000,30000,155197,155197,8233411,8233411,1,0,0,0
18,steady,0,20000,304,835168,835168,0,25652,50000,30000,165489,165489,8223119,8223119,1,0,0,0
19,steady,0,20000,320,835168,835168,0,25652,50000,30000,176394,176394,8212214,8212214,1,0,0,0
20,steady,0,20000,336,835168,835168,0,25652,50000,30000,185372,185372,8203236,8203236,1,0,0,0
21,steady,0,20000,352,835168,835168,0,25652,50000,30000,195840,195840,8192768,8192768,1,0,0,0
22,steady,0,20000,368,835168,835168,0,25652,50000,30000,204497,204497,8184111,8184111,1,0,0,0
23,steady,0,20000,384,835168,835168,0,25652,50000,30000,214425,214425,8174183,8174183,1,0,0,0
24,steady,0,20000,400,835168,835168,0,25652,50000,30000,222388,222388,8166220,8166220,1,0,0,0
25,steady,0,20000,416,835168,835168,0,25652,50000,30000,231510,231510,8157098,8157098,1,0,0,0
26,steady,0,20000,432,835168,835168,0,25652,50000,30000,240102,240102,8148506,8148506,1,0,0,0
27,steady,0,20000,448,835168,835168,0,25652,50000,30000,250980,250980,8137628,8137628,1,0,0,0
28,steady,0,20000,464,835168,835168,0,25652,50000,30000,261984,261984,8126624,8126624,1,0,0,0
29,steady,0,20000,480,835168,835168,0,25652,50000,30000,270177,270177,8118431,8118431,1,0,0,0
30,steady,0,20000,496,835168,835168,0,25652,50000,30000,279288,279288,8109320,8109320,1,0,0,0
31,steady,0,20000,512,835168,835168,0,25652,50000,30000,288190,288190,8100418,8100418,1,0,0,0
32,steady,0,20000,528,835168,835168,0,25652,50000,30000,295045,295045,8093563,8093563,1,0,0,0
33,steady,0,20000,542,835168,835168,0,25652,50000,30000,300727,300727,8087881,8087834,2,5.81116e-06,0,0
34,steady,0,20000,556,835168,835168,0,25652,50000,30000,308850,308850,8079758,8079533,4,2.78474e-05,0,0
35,steady,0,20000,572,835168,835168,0,25652,50000,30000,316652,316652,8071956,8071838,3,1.46185e-05,0,0
36,steady,0,20000,588,835168,835168,0,25652,50000,30000,325756,325756,8062852,8062734,3,1.4635e-05,0,0
37,steady,0,20000,602,835168,835168,0,25652,50000,30000,333604,333604,8055004,8054766,4,2.95469e-05,0,0
38,steady,0,20000,616,835168,835168,0,25652,50000,30000,340023,340023,8048585,8048433,4,1.88853e-05,0,0
39,steady,0,20000,629,835168,835168,0,25652,50000,30000,346030,346030,8042578,8042261,7,3.94152e-05,0,0
40,steady,0,20000,642,835168,835168,0,25652,50000,30000,353589,353589,8035019,8034265,10,9.38392e-05,0,0
41,steady,0,20000,658,835168,835168,0,25652,50000,30000,362506,362506,8026102,8025524,10,7.2015e-05,0,0
42,steady,0,20000,672,835168,835168,0,25652,50000,30000,371504,371504,8017104,8016425,11,8.46939e-05,0,0
43,steady,0,20000,687,835168,835168,0,25652,50000,30000,379870,379870,8008738,8008018,12,8.99018e-05,0,0
44,steady,0,20000,699,835168,835168,0,25652,50000,30000,385708,385708,8002900,8002025,14,0.000109335,0,0
45,steady,0,20000,713,835168,835168,0,25652,50000,30000,393729,393729,7994879,7993922,16,0.000119702,0,0
46,steady,0,20000,726,835168,835168,0,25652,50000,30000,401789,401789,7986819,7985464,19,0.000169655,0,0
47,steady,0,20000,738,835168,835168,0,25652,50000,30000,408403,408403,7980205,7977968,23,0.000280319,0,0
48,steady,0,20000,749,835168,835168,0,25652,50000,30000,415191,415191,7973417,7970756,27,0.000333734,0,0
49,steady,0,20000,760,835168,835168,0,25652,50000,30000,420396,420396,7968212,7965911,30,0.000288772,0,0
50,steady,0,20000,773,835168,835168,0,25652,50000,30000,428602,428602,7960006,7957748,31,0.000283668,0,0
51,steady,0,20000,787,835168,835168,0,25652,50000,30000,434841,434841,7953767,7951467,33,0.000289171,0,0
52,steady,0,20000,800,835168,835168,0,25652,50000,30000,443081,443081,7945527,7943093,34,0.000306336,0,0
53,steady,0,20000,813,835168,835168,0,25652,50000,30000,451436,451436,7937172,7934402,36,0.000348991,0,0
54,steady,0,20000,821,835168,835168,0,25652,50000,30000,457735,457735,7930873,7926911,42,0.000499567,0,0
